,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
5047,5047,20000223,Tienda Mixta Adelaida,Chiminangos 1 Etapa,Comuna 5,Cali,Valle del Cauca,CR 1 B 2 # 63 - 21 BL 27 C,CR 1 B 2 , 63 - 21 BL 27 C,CR,1 B 2 , 63 , 21 BL 27 C,CR 1B2 #63- 21 BL 27 C,3.3567264999999997,-76.55782959999998
5048,5048,20000225,Megatienda Jorge Yath,Chiminangos Etapa 1,COMUNA 5,Cali,Valle del Cauca,CR 1 C BIS # 64 - 22,CR 1 C BIS , 64 - 22,CR,1 C BIS , 64 , 22,CR 1CBIS #64- 22,3.4781587999999997,-76.4931778
5049,5049,20000226,Supertienda El Competidor,Chiminangos 1 Etapa,COMUNA 5,Cali,Valle del Cauca,CR 1 C # 63 - 41 BL 31 D,CR 1 C , 63 - 41 BL 31 D,CR,1 C , 63 , 41 BL 31 D,CR 1C #63- 41 BL 31 D,3.4774905,-76.4914703
5050,5050,20000228,Tienda La Abuela De Sofi,Chiminangos 2 Etapa,COMUNA 5,Cali,Valle del Cauca,CL 62 B 1 A 9 - 80 SEC 6 - AGP,CL 62 B 1 A 9 - 80 SEC 6 - AGP,,CL,62 B 1 A 9 - 80 SEC 6 - AGP,,,CL 62B1A9-80SEC6-AGP,3.4781587999999997,-76.4931778
5051,5051,20000233,Tienda De Choco,Chiminangos 2 Etapa,COMUNA 5,Cali,Valle del Cauca,CL 62 B 1 A 9 - 205 SEC 4 AGP,CL 62 B 1 A 9 - 205 SEC 4 AGP,,CL,62 B 1 A 9 - 205 SEC 4 AGP,,,CL 62B1A9-205SEC4AGP,3.4781587999999997,-76.4931778
5052,5052,20000236,Tienda Y Licores La 62,Chiminangos 2 Etapa,COMUNA 5,Cali,Valle del Cauca,CL 62 B 1 A 9 LC 205,CL 62 B 1 A 9 LC 205,,CL,62 B 1 A 9 LC 205,,,CL 62B1A9LC205,3.4781587999999997,-76.4931778
5053,5053,20000237,Salsamentaria El Campesino,Not Specified,COMUNA 3,Cali,Valle del Cauca,CL 62 B 1 A 9 - 80 SEC 6 AGP 4,CL 62 B 1 A 9 - 80 SEC 6 AGP 4,,CL,62 B 1 A 9 - 80 SEC 6 AGP 4,,,CL 62B1A9-80SEC6AGP4,3.4516467000000004,-76.53198540000001
5054,5054,20000238,Minitienda Obando,Chiminangos 2 Etapa,COMUNA 5,Cali,Valle del Cauca,CL 62 B 146 - 185 SEC 7 AGP 1,CL 62 B 146 - 185 SEC 7 AGP 1,,CL,62 B 146 - 185 SEC 7 AGP 1,,,CL 62B146-185SEC7AGP1,3.4781587999999997,-76.4931778
5055,5055,20000251,Tienda Angelita,Los Alcazares,COMUNA 6,Cali,Valle del Cauca,CL 70 B # 2 E - 06,CL 70 B , 2 E - 06,CL,70 B , 2 E , 06,CL 70B #2E- 06,3.4863155,-76.4911475
5056,5056,20000258,Tienda Mixta Yamita,La Rivera Ii,COMUNA 3,Cali,Valle del Cauca,CR 1 H BIS # 68 - 37,CR 1 H BIS , 68 - 37,CR,1 H BIS , 68 , 37,CR 1HBIS #68- 37,3.4516467000000004,-76.53198540000001
5057,5057,20000259,Tienda Omita,La Rivera Ii,COMUNA 5,Cali,Valle del Cauca,CR 1 J # 62 - 67,CR 1 J , 62 - 67,CR,1 J , 62 , 67,CR 1J #62- 67,3.4719912000000006,-76.491886
5058,5058,20000260,Minimarket Peniel,La Rivera Ii,COMUNA 5,Cali,Valle del Cauca,CR 1 G # 64 - 02,CR 1 G , 64 - 02,CR,1 G , 64 , 02,CR 1G #64- 02,3.4721995000000003,-76.4882997
5059,5059,20000264,Tienda El Parqueadero,La Rivera Ii,COMUNA 5,Cali,Valle del Cauca,CR 1 J # 64 - 78,CR 1 J , 64 - 78,CR,1 J , 64 , 78,CR 1J #64- 78,3.4728967000000006,-76.48918030000002
5060,5060,20000267,Tienda Lauris,La Rivera Ii,COMUNA 5,Cali,Valle del Cauca,CL 66 # 1 G - 16,CL 66 , 1 G - 16,CL,66 , 1 G , 16,CL 66 #1G- 16,3.4738809999999996,-76.49004830000001
5061,5061,20000268,Rico Pan La Rivera,La Rivera Ii,COMUNA 5,Cali,Valle del Cauca,CR 1 G # 68 - 68,CR 1 G , 68 - 68,CR,1 G , 68 , 68,CR 1G #68- 68,3.4721995000000003,-76.4882997
5062,5062,20000275,Delicias De Salomia,El Sena,COMUNA 5,Cali,Valle del Cauca,CL 47 # 1 E - 29,CL 47 , 1 E - 29,CL,47 , 1 E , 29,CL 47 #1E- 29,3.4689696000000003,-76.50428559999999
